1,"Escritorio Metalico Color Gris, Formaica Café",S/M,S/S,Regular,27,1,640100031010500001,2,NULL,NULL
2,Silla Giratoria Secretarial Pliana Negro /Coderas,S/M,S/S,Bueno,27,1,S/N,2,NULL,NULL
3,Escritorio Secretarial 3 Cajones Camel/Ng.Aglom,S/M,S/S,Bueno,27,1,S/N,2,NULL,NULL
4,Silla Giratoria Secretarial Pliana Negro /Coderas,S/M,S/S,Bueno,27,1,S/N,2,NULL,NULL
5,Modulo De Computo 3 Cajones Negro/Caoba Aglomerado,S/M,S/S,Bueno,27,1,S/N,2,NULL,NULL
6,Silla Giratoria Secretarial Pliana Negro /Coderas,S/M,S/S,Bueno,27,1,S/N,2,NULL,NULL
7,Silla Giratoria Secretarial Pliana Negro /Coderas,S/M,S/S,Regular,27,1,S/N,6,NULL,NULL
8,Escritorio Secretarial 3 Cajones Camel/Ng.Aglom,S/M,S/S,Regular,27,1,S/N,6,NULL,NULL
9,Cómoda ,S/M,S/N,Regular,27,1,16055101SNSM0050,13,NULL,NULL
10,Silla Ejecutiva ,S/M,S/N,Regular,27,1,16055101SNSM0031,13,NULL,NULL
11,Banco De Madera ,S/M,S/N,Regular,27,1,S/N,13,NULL,NULL
12,Banco De Madera ,S/M,S/N,Regular,27,1,16055101SNSM0039,13,NULL,NULL
13,Comoda ,S/M,S/N,Regular,27,1,16055101SNSM0063,13,NULL,NULL
14,Escritorio ,S/M,S/N,Regular,27,1,S/N,13,NULL,NULL
15,Escritorio2 ,S/M,S/N,Regular,27,1,S/N,13,NULL,NULL
16,Escritorio ,S/M,S/N,Regular,27,1,16055101SNSM0055,13,NULL,NULL
17,Mesa De Trabajo ,S/M,S/N,Regular,27,1,16055101SNSM0068,13,NULL,NULL
18,Librero ,S/M,S/N,Regular,27,1,16055101SNSM0083,13,NULL,NULL
19,Librero ,S/M,S/N,Regular,27,1,16055101SNSM0084,13,NULL,NULL
20,Mesa De Reuniones,S/M,S/N,Regular,27,1,16055101SNSM0078,13,NULL,NULL
21,Mesa De Trabajo ,S/M,S/N,Regular,27,1,16055101SNSM0049,13,NULL,NULL
22,Mesa De Trabajo ,S/M,S/N,Regular,27,1,16055101SNSM0047,13,NULL,NULL
23,Silla ,S/M,S/N,Regular,27,1,16055101SNSM0080,13,NULL,NULL
24,Silla ,S/M,S/N,Regular,27,1,16055101SNSM0081,13,NULL,NULL
25,Silla ,S/M,S/N,Regular,27,1,16055101SNSM0034,13,NULL,NULL
26,Silla ,S/M,S/N,Regular,27,1,16055101SNSM0044,13,NULL,NULL
27,Silla ,S/M,S/N,Regular,27,1,16055101SNSM0048,13,NULL,NULL
28,Silla ,S/M,S/N,Regular,27,1,16055101SNSM0059,13,NULL,NULL
29,Silla ,S/M,S/N,Regular,27,1,16055101SNSM0060,13,NULL,NULL
30,Silla ,S/M,S/N,Regular,27,1,16055101SNSM0052,13,NULL,NULL
31,Silla ,S/M,S/N,Regular,27,1,16055101SNSM0053,13,NULL,NULL
32,Silla ,S/M,S/N,Regular,27,1,16055101SNSM0054,13,NULL,NULL
33,Silla ,S/M,S/N,Regular,27,1,S/N,13,NULL,NULL
34,Silla ,S/M,S/N,Bueno,27,1,16055101SNSM0042,13,NULL,NULL
35,Comoda ,S/M,S/N,Regular,27,1,16055101SNSM0046,13,NULL,NULL
36,Silla2 ,S/M,S/N,Regular,27,1,S/N,13,NULL,NULL
37,Comoda ,S/M,S/N,Regular,27,1,16055101SNSM0041,13,NULL,NULL
38,Modulo De Trabajo ,S/M,S/N,Regular,27,1,16055101SNSM0058,13,NULL,NULL
39,Mesa De Trabajo ,S/M,S/N,Bueno,27,1,16055101SNSM0061,13,NULL,NULL
40,Silla ,S/M,S/N,Regular,27,1,16055101SNSM0033,13,NULL,NULL
41,Silla ,S/M,S/N,Bueno,27,1,S/N,13,NULL,NULL
42,Silla3 ,S/M,S/N,Regular,27,1,S/N,13,NULL,NULL
43,Comoda ,S/M,S/N,Regular,27,1,S/N,13,NULL,NULL
44,Módulo De Trabajo ,S/M,S/N,Regular,27,1,S/N,13,NULL,NULL
45,Silla Ejecutiva ,S/M,S/N,Regular,27,1,S/N,13,NULL,NULL
46,Escritorio ,S/M,S/N,Regular,27,1,16055101SNSM0045,13,NULL,NULL
47,Silla4 ,S/M,S/N,Regular,27,1,S/N,13,NULL,NULL
